icd10,doid  
H90.3,0110485
H90.3,0110486
H90.3,0110487
H90.3,0110488
H90.3,0110489
H90.3,0110490
H90.3,0110491
H90.3,0110492
H90.3,0110493
H90.3,0110494
H90.3,0110495
H90.3,0110496
H90.3,0110497
H90.3,0110498
H90.3,0110499
H90.3,0110500
H90.3,0110501
H90.3,0110502
H90.3,0110503
H90.3,0110504
H90.3,0110505
H90.3,0110506
H90.3,0110507
H90.3,0110508
H90.3,0110509
H90.3,0110510
H90.3,0110511
H90.3,0110512
H90.3,0110513
H90.3,0110514
H90.3,0110515
H90.3,0110516
H90.3,0110517
H90.3,0110518
H90.3,0110519
H90.3,0110520
H90.3,0110521
H90.3,0110522
H90.3,0110523
H90.3,0110524
H90.3,0110525
H90.3,0110526
H90.3,0110527
H90.3,0110528
H90.3,0110529
H90.3,0110530
H90.3,0110531
H90.3,0110532
H90.3,0110533
H90.3,0110534
H90.3,0110535
H90.3,0110536
H90.3,0110537
H90.3,0110538
H90.3,0110539
H90.3,0110540
H90.3,0110541
H90.3,0110542
H90.3,0110543
H90.3,0110544
H90.3,0110545
H90.3,0110546
H90.3,0110547
H90.3,0110548
H90.3,0110549
H90.3,0110550
H90.3,0110551
H90.3,0110552
H90.3,0110553
H90.3,0110554
H90.3,0110555
H90.3,0110556
H90.3,0110557
H90.3,0110558
H90.3,0110559
H90.3,0110560
H90.3,0110561
H90.3,0110562
H90.3,0110563
H90.3,0110564
H90.3,0110565
H90.3,0110566
H90.3,0110567
H90.3,0110568
H90.3,0110569
H90.3,0110570
H90.3,0110571
H90.3,0110572
H90.3,0110573
H90.3,0110574
H90.3,0110575
H90.3,0110576
H90.3,0110577
H90.3,0110579
H90.3,0110580
H90.3,0110581
H90.3,0110582
H90.3,0110583
H90.3,0110584
H90.3,0110585
H90.3,0110586
H90.3,0110587
H90.3,0110588
H90.3,0110589
H90.3,0110590
H90.3,0110591
H90.3,0110592
H90.3,0110593
Q34.8,0110594
Q87.8,0110595
Q34.8,0110596
Q34.8,0110597
Q34.8,0110598
Q34.8,0110599
Q34.8,0110600
Q34.8,0110601
Q34.8,0110602
Q34.8,0110603
Q34.8,0110604
Q34.8,0110605
Q34.8,0110606
Q34.8,0110607
Q34.8,0110608
Q34.8,0110609
Q34.8,0110611
Q34.8,0110612
Q34.8,0110613
Q34.8,0110614
Q34.8,0110615
Q34.8,0110616
Q34.8,0110617
Q34.8,0110618
Q34.8,0110619
Q34.8,0110621
Q34.8,0110622
Q34.8,0110623
Q34.8,0110624
Q34.8,0110625
Q34.8,0110626
Q34.8,0110627
Q34.8,0110628
E13.8,0110629
E13.8,0110630
G71.2,0110632
G71.8,0110633
G71.2,0110633
G71.2,0110634
G71.2,0110635
G71.2,0110637
G71.2,0110639
G71.2,0110640
I45.8,0110644
I45.8,0110645
I45.8,0110646
I45.8,0110647
I45.8,0110648
I45.8,0110650
I45.8,0110651
I45.8,0110652
I45.8,0110653
I45.8,0110654
I45.8,0110655
I45.8,0110656
Q87.0,0110716
Q87.0,0110717
Q87.0,0110718
Q87.0,0110719
E75.4,0110720
E75.4,0110721
E75.4,0110722
E75.4,0110723
E75.4,0110724
E75.4,0110725
E75.4,0110726
E75.4,0110727
E75.4,0110728
E75.4,0110729
E75.4,0110730
E75.4,0110731
E75.4,0110732
E75.4,0110733
G23.0,0110735
G23.0,0110736
G23.0,0110738
G23.0,0110739
G23.0,0110740
E10,0110741
E10,0110742
E10,0110743
E10,0110744
E10,0110745
E10,0110746
E10,0110747
E10,0110748
E10,0110749
E10,0110750
E10,0110751
E10,0110752
E10,0110753
E10,0110754
E10,0110755
E10,0110756
E10,0110757
E10,0110758
E10,0110759
E10,0110760
E10,0110761
G11.4,0110763
G11.4,0110764
G11.4,0110765
G11.4,0110766
G11.4,0110767
G11.4,0110768
G11.4,0110769
G11.4,0110770
G11.4,0110771
G11.4,0110772
G11.4,0110773
G11.4,0110774
G11.4,0110775
G11.4,0110776
G11.4,0110777
G11.4,0110778
G11.4,0110779
G11.4,0110780
G11.4,0110781
G11.4,0110782
G11.4,0110783
G11.4,0110785
G11.4,0110786
G11.4,0110787
G11.4,0110788
G11.4,0110789
G11.4,0110790
G11.4,0110791
G11.4,0110792
G11.4,0110793
G11.4,0110794
G11.4,0110795
G11.4,0110796
G11.4,0110797
G11.4,0110798
G11.4,0110800
G11.4,0110801
G11.4,0110805
G11.4,0110806
G11.4,0110807
G11.4,0110808
G11.4,0110809
G11.4,0110810
G11.4,0110811
G11.4,0110812
G11.4,0110813
G11.4,0110814
G11.4,0110815
G11.4,0110816
G11.4,0110817
G11.4,0110818
G11.4,0110820
G11.4,0110822
G11.4,0110823
G11.4,0110824
G11.4,0110825
H35.5,0110826
H35.5,0110830
H35.5,0110831
H35.5,0110832
H35.5,0110833
H35.5,0110834
H35.5,0110835
H35.5,0110836
H35.5,0110837
H35.5,0110838
H35.5,0110839
H35.5,0110840
H35.5,0110841
H35.5,0110842
Q82.1,0110843
Q82.1,0110844
Q82.1,0110845
Q82.1,0110846
Q82.1,0110847
Q82.1,0110848
Q82.1,0110849
Q82.1,0110850
Q77.3,0110851
Q77.3,0110852
Q77.3,0110853
H18.50,0110855
H18.50,0110856
H18.50,0110857
Q61.1,0110861
Q78.2,0110946
E70.3,0110949
E75.2,0110957
E75.2,0110958
E75.2,0110959
E75.2,0110960
E75.2,0110961
Q73.8,0110962
Q73.8,0110963
Q73.8,0110967
Q73.8,0110975
E83.1,0111029
E83.1,0111031
E83.1,0111033
E83.1,0111034
F01.1,0111035
F01.1,0111036
E72.1,0111037
E72.1,0111038
E72.1,0111039
E74.0,0111040
E74.0,0111041
E74.0,0111042
E74.0,0111043
D69.1,0111044
D69.8,0111045
D69.4,0111048
D69.1,0111049
D69.1,0111051
D68.03,0111054
D69.8,0111056
D69.8,0111057
Q84.2,0111060
M11.2,0111063
G12.2,0111064
N04.1,0111128
N04.1,0111129
N04.1,0111130
N04.1,0111131
N04.1,0111132
N04.1,0111133
N04.1,0111134
E88.1,0111135
E88.1,0111136
E88.1,0111137
E88.1,0111138
E03.1,0111140
Q60.4,0111142
D68.04,0111146
C86.5,0111147
Q12.1,0111148
I95.1,0111154
D47.Z2,0111157
E72.1,0111165
G71.228,0111217
G71.220,0111225
Q85.02,0111252
Q85.01,0111253
E74.89,0111258
E72.19,0111270
E76.02,0111389
E76.01,0111390
E76.210,0111391
E76.211,0111392
E76.22,0111393
E76.22,0111394
E76.22,0111395
E76.22,0111402
H47.03,0111531
G71.19,0111538
G12.1,0111552
Q85.89,0111563
E88.02,0111592
Q87.0,0111604
E72.59,0111626
E74.31,0111633
E73.0,0111646
E74.11,0111680
Q11.2,0111716
E72.59,0112307
E22.8,0112308
G71.2,0112374
A00-A09,100
H90.5,10003
E31.23,10016
E31.21,10017
C24.1,10020
C17.0,10021
G43.1,10024
A52.11,10027
N73.9,1003
J98.2,10030
J98.3,10031
H52.52,10033
H52.5,10034
A52.2,10035
A50.40,10039
A50.5,10039
B71.0,10074
B70.0,10075
B69,10079
B70.1,10080
B56,10112
B57.2,10113
H02.71,10122
H18.9,10124
H18.6,10126
F52.5,10131
E50.7,10138
H11.10,10139
H04.12,10140
C40.2,10149
C40.3,10151
C17.2,10153
C17,10154
C26.0,10155
M87,10159
M87.9,10159
H04.81,10174
H35.81,10175
H47.1,10175
H47.11,10175
H30.9,10176
A67.1,1022
A67.3,1022
A67.9,1022
A67.2,1022
A67.0,1022
M33,10223
A30.3,1023
I70.0,10230
H50.61,10235
F65.2,10236
A30,1024
D56,10241
A77.4,10242
A30.1,1025
A84.89,10250
K82.4,10254
H92.1,10261
B26,10264
I44.60,10272
C61,10283
G72.3,1029
H50.01,10293
I73.0,10300
K11.2,10301
K11.2,10303
A87,10310
I33.9,10314
J64,10316
J61,10320
J63.2,10322
J66.0,10323
J60,10324
J62.8,10325
J60,10327
J63.4,10328
J62.0,10329
H47.23,10337
G03.1,10341
H02.52,10348
N60.0,10349
C94.8,1035
N60.0,10350
N60.2,10352
N60.3,10353
N60.1,10354
C63.0,10366
C91,1037
A66,10371
H53.03,10375
H53.00,10376
H53.02,10377
H53.01,10378
G54.5,10383
M89.4,10393
A20.2,10398
A49.9,104
C91.10,1040
Q76.1,10426
H18.61,10428
H16.05,10439
H16.06,10440
H16.04,10441
H16.03,10442
H20.05,10443
H16.02,10444
H16.07,10445
J35.01,10456
A48.1,10457
J00,10459
J31.1,10460
J00,10460
K02,10461
M76.5,10471
Q79.1,10480
J98.6,10481
Q39.0,10485
Q41.1,10486
Q43.1,10487
Q42.3,10488
H05.11,10499
I24.1,10507
H60.2,10516
J12.9,10533
C16.6,10534
C16,10534
C16.5,10534
C16.2,10534
C16.1,10538
C16.4,10544
C16.3,10547
C16.0,10548
H68.01,10550
A69.22,10554
E72.03,1056
A66.1,10567
A66.4,10567
A66.6,10568
A66.0,10568
E83.5,10575
E75.25,10581
G60.1,10582
H35.52,10584
E75.23,10587
E71.52,10588
O14,10591
G60.0,10595
A15.6,106
E72.02,1060
F95.1,10600
R73.03,10603
E73,10604
K90.2,10606
K90.1,10607
K90.0,10608
E55.0,10609
K90.3,10610
L50.0,10612
H47.21,10627
Q11.2,10629
N12,1063
F21,10646
G30,10652
H40.15,1066
H40.1,1067
N64.89,10686
N62,10688
N64.1,10691
B66.4,10699
H40.11,1070
A07.1,10718
N19,1074
C57.1,10744
H66.9,10754
H70.2,10755
H70.21,10755
H70.22,10755
N11,1076
K76.6,10762
I10,10763
M31.19,10772
A20.0,10773
I40.1,10778
I40.0,10779
D75.0,10780
I88.0,10782
D74,10783
E28.31,10787
J32.1,10790
J32.1,10791
J32.0,10792
J32.3,10793
J32.3,10794
B74,1080
K25,10808
B74.4,1081
C30.0,10811
F65.52,10817
B74.8,1082
I10,10825
F65.3,10834
A83.2,10841
A83.4,10842
A83.1,10843
A83.0,10844
A83.3,10845
F65.51,10849
H49,10863
H35.30,10871
H35.32,10873
I80.21,10880
B08.4,10881
B33.0,10882
