icd10,doid
A58,9113
A69.1,13924
D89.1,2917
D68.8,0060601
D81.6,5812
Q68.8,0060558
K56.4,8448
C06.1,9188
G45.9,224
I89.1,9317
G23.0,3981
A07.8,9640
C05.2,8635
F95.0,2768
K04.0,11121
C01,8649
N60.0,10350
A05.0,96
D32.9,3565
E05.2,11277
N60.2,10352
C67.7,11817
E88.9,0014667
E22.2,3401
D69.0,11123
A03.2,12385
J05.1,9398
A20.7,3481
J38.6,11527
J69.1,3241
G95.9,319
A74.0,13800
Q56.1,0090091
M75.3,14181
G62.1,14183
A52.3,9988
L70.8,9098
Q81.8,0060738
I65.1,13446
M31.3,12132
N85.9,345
B80,7457
N42.9,47
P29.3,13042
B43.9,1562
K29.7,4029
C71.1,12016
M02.3,6196
A68.1,13036
C71.7,4706
G71.1,450
H73.9,5782
K20,11963
Q51.2,0060739
M48.2,6643
D45,8997
F45.8,2846
A30.3,1023
G35,2377
I67.2,12720
E46,11801
R82.3,582
J98.4,850
N80.5,11428
A92.4,1328
D53.1,13382
D80.3,14176
M08.1,0040092
C51.0,11905
Q80.8,0060871
D80.1,2583
L65.0,1943
K59.4,11374
E75.4,14503
M32.0,0040093
P61.0,9771
Q79.3,11044
Q23.0,1712
N70.1,12265
C04.0,8618
B36.9,0050133
O24.4,11714
A25.1,13238
L60.5,0050468
E75.2,0110961
C68.0,734
Q87.8,0110595
J42,6132
C88.0,0060901
B60.0,9643
F34.0,845
N80.0,361
Q21.0,1657
M72.6,9602
E56.1,11249
A55,13819
M77.9,971
A98.3,4327
M32.9,9074
O20.0,9667
I81,11695
Q28.3,0060671
L50.0,10612
Q60.4,0111142
I09.2,1869
H47.2,5723
M89.4,14283
R21,0050486
N60.1,10354
A30.0,11851
A36.3,12275
J80,11394
J98.3,10031
K14.3,13333
J32.2,9507
L75.2,1381
Q77.1,13481
H05.4,11175
B65.3,11302
B48.0,13026
E06.0,14353
A63.0,11168
F52.9,1876
N21.1,9589
Q77.2,0110095
N28.0,2972
J67.3,840
D00.2,9138
F43.1,2055
D48.6,1631
K82.1,9717
L12.3,4313
F95.2,11119
H49.0,11550
Q20.6,0060856
G46.3,3522
D70,12987
H04.4,9935
N30.3,13507
F09,1561
D58.9,589
Q87.2,9467
N48.8,1529
C18.3,260
G93.9,936
C38.2,436
E71.0,9269
K25,10808
N72,2568
H70.2,10755
Q78.0,12347
M77.1,14087
K14.5,11514
C57.0,1964
C31.3,14546
G37.0,0060215
H66.3,14247
Q12.1,0111148
Q50.5,4333
K12.1,9673
I33.9,10314
I71.1,3627
C45.1,1788
R41.2,4543
I86.2,9742
E00.1,0050328
C94.3,9254
J67.9,841
M72.2,9600
H53.5,13399
K76.8,0050674
I65.9,5976
N81.0,12369
Q92.3,0060460
C22.2,687
E83.5,10575
M25.0,801
P39.3,1375
L50.4,1554
C43.9,8923
B08.5,10883
I42.5,397
I82.1,14392
I51.4,820
F44.9,10935
Q81.2,4959
E30.1,0090122
G61.0,12889
M48.3,6603
J00,10460
D00.0,8661
C10.3,8557
H20.9,13141
T79.6,5587
Q78.4,4624
M85.2,0060757
I82.0,11512
C25.2,1793
B81.2,1254
D82.1,11198
M06.1,14256
C32.3,13348
J62.0,10329
C16.5,10534
Q87.5,0110097
N84.0,9042
A37.1,11750
C67.4,11811
Q02,10907
B74.8,1082
D09.1,9234
C22.3,268
L74.2,0070320
A51.0,4166
E27.5,12257
I06.0,1712
C16.2,10534
I51.9,114
Q78.3,4997
K50.0,0060191
J67.4,2314
D81.8,0060010
E72.1,0111165
L73.2,2280
D76.1,0050120
J44.9,3083
Q82.5,2725
N60.3,10353
K22.0,9164
G50.0,12098
B86,8295
C34.0,3924
A81.1,8970
B49,1564
A20.0,10773
H73.0,13790
D56.1,12241
C02.9,8649
A67.0,1022
A48.3,14115
Q74.0,9827
J13,0040084
K82.9,0060262
K22.4,9192
H93.9,2742
N15.0,3052
D69.4,8925
K83.1,13580
A28.1,11258
A69.2,11729
C08.0,9173
G45.4,13027
F60.1,10936
M35.1,3492
K76.5,0080177
R48.1,4090
E27.8,0090030
G90.2,11486
G04.1,321
K14.4,1453
F41.1,14320
Q79.4,0060889
Q61.1,0110861
J30.0,4730
E74.0,2747
G21.3,14332
E72.9,9252
E03.1,0111140
C24.9,4607
C90.0,9538
C60.0,13168
G83.0,862
N48.1,13033
N71.9,13736
D58.0,12971
C45.0,7474
K14.0,1456
K06.1,3086
J81,11396
N34.3,13498
C18.9,9256
H81.4,2479
M89.3,205
E67.1,9969
G72.3,14452
C38.3,5559
B55.0,9146
D80.7,624
D01.4,9024
O90.3,9997
E34.9,28
C06.2,8930
H50.6,9306
H66.1,14435
B68.1,0050596
F82,9923
E28.0,14336
G60.1,10582
H02.9,530
D09.0,9053
B85.1,5513
J84.9,3082
I00,1586
L12.1,11656
N43.4,11997
K85.9,4989
M11.2,0111063
K82.0,9714
D18.0,483
Q22.5,14289
Q15.8,0060837
D51.0,13381
A92.2,9584
P28.0,424
C57.4,11747
H01.1,1894
G12.2,231
H61.9,379
G54.0,3690
Q38.0,0060239
Q78.2,4254
H68.0,2000
C32.2,11472
L40.1,8503
G25.8,0060698
D86.0,13406
A98.1,992
H21.1,14000
N25.1,12387
Q80.4,0060713
H90.5,10003
F84.5,0050432
E78.6,1391
F99,150
K03.3,14529
G58.9,1188
H30.1,8787
A66.4,10567
A15.0,9534
J85.2,0060317
E77.1,14500
G57.5,12526
D04.3,8687
Q75.0,2340
N95.2,11968
A77.9,11104
E24.0,3946
D75.1,8432
C62.0,12276
C52,119
A80.4,4986
E76.3,12798
I44.3,0050820
G37.2,636
Q78.6,206
M70.2,12581
E04.9,13195
C45.2,6201
J01.0,2050
D84.9,612
M94.9,1222
D73.2,11787
J31.0,8252
Q75.4,2908
L50.2,0090065
G58.7,1835
I80.1,12282
D89.0,2344
B67.4,1495
C51.1,1243
A07.0,12386
C93.1,8593
C69.0,5467
H01.0,9423
N12,2744
D07.0,5172
E27.1,13774
P91.2,13088
B75,9784
G83.5,12697
E54,13724
Q39.0,10485
E31.0,14040
N97.2,13589
K70.0,9452
F50.2,12129
G03.1,10341
G37.8,0060793
